iter,wl,overlap,ref
731,44.35,0.0061,2128.83
732,44.33,0.0061,2128.81
733,44.34,0.0061,2128.79
734,44.34,0.0061,2128.77
735,44.34,0.0061,2128.75
736,44.34,0.0061,2128.73
737,44.34,0.0061,2128.71
738,44.35,0.0061,2128.69
739,44.35,0.0061,2128.67
740,44.35,0.0061,2128.64
741,44.35,0.0061,2128.63
742,44.34,0.0061,2128.61
743,44.34,0.0061,2128.59
744,44.34,0.0061,2128.57
745,44.33,0.0060,2128.55
746,44.32,0.0060,2128.53
747,44.32,0.0060,2128.51
748,44.31,0.0060,2128.49
749,44.31,0.0060,2128.47
750,44.30,0.0060,2128.45
751,44.29,0.0060,2128.43
752,44.29,0.0060,2128.41
753,44.28,0.0060,2128.39
754,44.27,0.0060,2128.37
755,44.27,0.0060,2128.35
756,44.26,0.0060,2128.33
757,44.26,0.0060,2128.31
758,44.25,0.0060,2128.29
759,44.24,0.0060,2128.27
760,44.23,0.0059,2128.25
761,44.22,0.0059,2128.23
762,44.22,0.0059,2128.20
763,44.21,0.0059,2128.19
764,44.20,0.0059,2128.16
765,44.20,0.0059,2128.15
766,44.19,0.0059,2128.12
767,44.18,0.0059,2128.10
768,44.17,0.0059,2128.09
769,44.16,0.0059,2128.07
770,44.15,0.0059,2128.05
771,44.15,0.0059,2128.03
772,44.14,0.0059,2128.01
773,44.13,0.0059,2127.99
774,44.12,0.0059,2127.98
775,44.12,0.0058,2127.96
776,44.11,0.0059,2127.94
777,44.10,0.0058,2127.92
778,44.09,0.0058,2127.90
779,44.08,0.0058,2127.88
780,44.06,0.0058,2127.87
781,44.05,0.0058,2127.85
782,44.04,0.0058,2127.83
783,44.03,0.0058,2127.81
784,44.02,0.0058,2127.79
785,44.02,0.0058,2127.78
786,44.01,0.0058,2127.76
787,44.01,0.0058,2127.75
788,44.00,0.0057,2127.73
789,43.99,0.0057,2127.71
790,43.98,0.0057,2127.69
791,43.97,0.0057,2127.68
792,43.96,0.0057,2127.66
793,43.95,0.0057,2127.64
794,43.94,0.0057,2127.63
795,43.94,0.0057,2127.61
796,43.95,0.0057,2127.59
797,43.95,0.0057,2127.57
798,43.95,0.0057,2127.56
799,43.95,0.0057,2127.54
800,43.95,0.0056,2127.52
801,43.95,0.0056,2127.50
802,43.95,0.0056,2127.49
803,43.95,0.0056,2127.47
804,43.95,0.0056,2127.45
805,43.95,0.0056,2127.44
806,43.95,0.0056,2127.42
807,43.95,0.0056,2127.40
808,43.95,0.0056,2127.38
809,43.95,0.0056,2127.37
810,43.95,0.0056,2127.35
811,43.95,0.0056,2127.33
812,43.95,0.0056,2127.31
813,43.95,0.0056,2127.30
814,43.95,0.0055,2127.28
815,43.95,0.0055,2127.26
816,43.95,0.0055,2127.25
817,43.95,0.0055,2127.23
818,43.95,0.0055,2127.21
819,43.95,0.0055,2127.20
820,43.94,0.0055,2127.18
821,43.93,0.0055,2127.16
822,43.93,0.0055,2127.14
823,43.92,0.0055,2127.13
824,43.91,0.0055,2127.11
825,43.92,0.0054,2127.09
826,43.93,0.0054,2127.08
827,43.93,0.0054,2127.06
828,43.93,0.0054,2127.04
829,43.93,0.0054,2127.02
830,43.93,0.0054,2127.01
831,43.92,0.0054,2126.99
832,43.92,0.0054,2126.97
833,43.92,0.0054,2126.95
834,43.91,0.0054,2126.94
835,43.91,0.0054,2126.92
836,43.90,0.0054,2126.90
837,43.89,0.0054,2126.89
838,43.89,0.0053,2126.87
839,43.89,0.0054,2126.85
840,43.88,0.0054,2126.84
841,43.88,0.0053,2126.82
842,43.88,0.0053,2126.80
843,43.89,0.0053,2126.79
844,43.89,0.0053,2126.77
845,43.89,0.0053,2126.76
846,43.89,0.0053,2126.74
847,43.89,0.0053,2126.73
848,43.89,0.0053,2126.71
849,43.89,0.0053,2126.70
850,43.89,0.0052,2126.68
851,43.90,0.0052,2126.67
852,43.90,0.0052,2126.65
853,43.90,0.0052,2126.63
854,43.91,0.0052,2126.62
855,43.92,0.0052,2126.60
856,43.92,0.0052,2126.59
857,43.93,0.0052,2126.57
858,43.93,0.0052,2126.55
859,43.94,0.0052,2126.54
860,43.94,0.0052,2126.52
861,43.93,0.0052,2126.51
862,43.93,0.0051,2126.49
863,43.92,0.0051,2126.48
864,43.92,0.0052,2126.47
865,43.91,0.0051,2126.45
866,43.91,0.0051,2126.43
867,43.90,0.0051,2126.42
868,43.90,0.0051,2126.41
869,43.90,0.0051,2126.39
870,43.89,0.0051,2126.38
871,43.88,0.0051,2126.36
